Maj;3;1;3;5
m;3;1;b3;5
mb5;3;1;b3;b5
M7;4;1;3;5;7
7;4;1;3;5;b7
m7;4;1;b3;5;b7
m7b5;4;1;b3;b5;b7
5#;3;1;3;#5
mM7;4;1;b3;5;7
M75#;4;1;3;#5;7
7dim;4;1;b3;b5;6
7Dim;4;1;b3;b5;6
M7(9);5;1;3;5;7;9
m7(9);5;1;b3;5;b7;9
7(9);5;1;3;5;b7;9
7(b9);5;1;3;5;b7;b9
7(9#);5;1;3;5;b7;#9
b9;4;1;3;5;b9
9#;4;1;3;5;#9
m9;4;1;b3;5;9
9;4;1;3;5;9
M7(11#);5;1;3;5;7;#11
7(11);5;1;3;5;b7;11
11#;4;1;3;5;#11
11;4;1;3;5;11
7sus4;4;1;4;5;b7
sus4;3;1;4;5
m11;4;1;b3;5;11
m7(11);5;1;b3;5;7;11
7M;4;1;3;5;7
m7M;4;1;b3;5;7
7M5#;4;1;3;#5;7
7M(9);5;1;3;5;7;9
7M(11#);5;1;3;5;7;#11