Usuelle;UsualScale;Maj;1;2;3;4;5;6;7;Fin; OK
Usuelle;UsualScale;MinH;1;2;b3;4;5;b6;7;Fin; OK 
Usuelle;UsualScale;MinM;1;2;b3;4;5;6;7;Fin; OK
Blues;8notes;Blues1;1;2;b3;4;#4;5;6;b7;Fin; OK
Usuelle;UsualScale;Penta;1;2;3;5;6;Fin; OK
Modal;MixoLyd;MixoLyd.9/11;1;b2;3;#4;5;6;b7;Fin; OK
Modal;Lyd.;Lyd.dim.;1;2;b3;#4;5;6;7;Fin; OK
Blues;7notes;Blues2;1;2;b3;3;5;6;b7;Fin; OK
Synthétique;6notes;Majeur_augm.;1;b3;3;5;#5;7;Fin; OK
Orient;Arabie;Arabe;1;2;3;4;#4;#5;b7;Fin; OK
Est;Mineur;Hongrois1;1;2;b3;#4;5;#5;7;Fin; OK
Orient;Oriental;Oriental;1;b2;3;4;#4;#5;b7;Fin; OK
Inde;Raga;RagaTodi;1;b2;b3;#4;5;#5;b7;Fin; OK
Est;Hongrie;Hongrois2;1;b3;3;#4;5;6;b7;Fin; OK
Ext.Orient;Penta;Japonais1;1;b2;4;5;#5;Fin; OK
Ext.Orient;Penta;Japonais2;1;2;4;5;#5;Fin; OK
Orient;Iranien;Perse;1;b2;3;4;#4;#5;7;Fin; OK
Synthétique;8notes;Diminué;1;2;b3;4;#4;#5;6;7;Fin; OK
Synthétique;6notes;Mésotonique;1;2;3;#4;#5;b7;Fin; OK
Blues;6notes;Blues3;1;b3;4;#4;5;b7;Fin; OK
Grecque;Mineur;Dorien;1;2;b3;4;5;6;b7;Fin; OK
Grecque;Mineur;Maj;1;b2;b3;4;5;#5;b7;Fin; OK
Grecque;Majeur;Maj;1;2;3;#4;5;6;7;Fin; OK
Grecque;Majeur;Maj;1;2;3;4;5;6;b7;Fin; OK
Grecque;Mineur_Nat.;Maj;1;2;b3;4;5;#5;b7;Fin; OK
Grecque;Mineur;Maj;1;b2;b3;4;#4;#5;b7;Fin; OK